name;hyperonim;text;link;bool;comment
Капельмейстер;руководитель хоровой капеллы;Капельмейстер - руководитель хоровой капеллы и/или оркестра. Военный капельмейстер — дирижёр полкового, эскадронного и тому подобного оркестра.';руководитель хоровой капеллы и/или оркестра. Военный капельмейстер — дирижёр полкового, эскадронного и тому подобного оркестра.;1;
Капельмейстер;дирижер ;Капельмейстер - дирижер военного духового оркестра.';https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80';1;
Капельмейстер;руководитель военного оркестра;Капельмейстер - руководитель военного оркестра';https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80;1;
Капельмейстер;профессия ;Дирижер — профессия штучная, эксклюзивная, которой научить практически нельзя. Дирижером надо родиться. К этой профессии идут годами.';http://obrazovanie66.ru/prof/dirizher/;1;
Капельмейстер;род трудовой деятельности ;Профессия  -  род трудовой деятельности человека, обычно его источник существования[2]. ';https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D1%8F;0;
Каперс;растение;Каперсы - род растений семейства Каперсовые (Capparidaceae), иногда род относят к семейству Капустные (Brassicaceae).';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B5%D1%80%D1%81%D1%8B';1;
Каперс;бутон ;Каперсы — нераспустившиеся бутоны колючего кустарника Capparis spinosa.';'https://eda.ru/wiki/ingredienty/ovoschi-korneplody/kapersi-13534';1;
Каперс;еда;Каперсы – это не еда, а скорее, украшение еды';https://www.gastronom.ru/text/kapersy-chto-jeto-takoe-i-s-chem-ih-edjat-1009873;1;
Каперс;овощ ;'Каперс - забытый овощ. Многие хозяйки, которым попадались книги кулинарных рецептов прошлых лет (особенно дореволюционные), обращали внимание на присутствие такой пряности, как каперсы. Сейчас же они почти забыты.';'https://garden.cofe.ru/dachnye-ekzoty/kapers-zabyityiy-ovoshh';1;
Каперс;плод кустарника;каперс - ароматический и возбуждающий плод кустарника, распространенного на востоке. Применяется как приправа. В русском переводе Библии это слово употреблено фигурально, в оригинале сказано прямо: «и желание исчезнет».';'https://gufo.me/dict/bible_vihlyancev/%D0%BA%D0%B0%D0%BF%D0%B5%D1%80%D1%81';1;
КАПРИС;название пьессы ;'Итальянское слово «capriccio» означает каприз, прихоть. В музыке оно или его производные встречаются довольно часто: так называют пьесы, свободные по построению, капризного, изменчивого характера. Таково, например, Итальянское каприччио Чайковского, написанное под впечатлением его поездки в Италию. В этом оркестровом каприччио использованы разнообразные народные напевы и ритмы, благодаря которым создается красочная картина веселого итальянского карнавала.';'https://www.classic-music.ru/capriccio.html';1;
КАПРИС;произведение;Пьеса -  видовое название произведений драматургии, предназначенных для исполнения со сцены, а также для теле- и радиоспектаклей.';https://ru.wikipedia.org/wiki/%D0%9F%D1%8C%D0%B5%D1%81%D0%B0;0;
КАПРИС;произведение академической музыки;"Каприччио (итал. Capriccio, также каприс, фр. caprice; букв. каприз, прихоть; причудливый изыск) — произведение академической музыки, написанное в свободной форме.'";https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0);1;
КАПРИС;жанр;Жанр каприса весьма старый, это слово известно с XVI века.';https://www.classic-music.ru/capriccio.html;1;
КАПРИС;пьеса ;'Инструментальная пьеса свободной формы, в блестящем виртуозном стиле. Для множества каприччио типична причудливая смена эпизодов, настроений.';https://www.classic-music.ru/capriccio.html;1;
КАПРИЧЧИО;жанр пейзажной живописи ;Каприччио (итал. capriccio, буквально «каприз») — жанр пейзажной живописи, популярный в XVII—XVIII веках. На картинах этого жанра изображались архитектурные фантазии, в основном руины вымышленных античных сооружений. Для оживления пейзажа нередко использовался стаффаж. Каприччио тесно связан с жанром ведуты. На некоторых картинах элементы каприччио могут сочетаться с другими жанрами.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%B6%D0%B8%D0%B2%D0%BE%D0%BF%D0%B8%D1%81%D1%8C)';1;
КАПРИЧЧИО;инструментальная пьесса;Каприччио - Инструментальная пьеса свободной формы, в блестящем виртуозном стиле. Для множества каприччио типична причудливая смена эпизодов, настроений.';https://www.belcanto.ru/capriccio.html;1;
КАПРИЧЧИО;вокальное многоголосое произведение;Первоначально карисом называли вокальное многоголосое произведение';https://www.classic-music.ru/capriccio.html;1;
КАПРИЧЧИО;блюдо;Пицца — итальянское национальное блюдо в виде круглой открытой дрожжевой лепёшки, покрытой в классическом варианте томатным соусом и расплавленным сыром';https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%86%D1%86%D0%B0;0;
КАПРИЧЧИО;пицца;Пицца Каприччио с ветчиной и грибами';http://nyam.ru/recipes/vypechka/picca/picca-kaprichchio-s-vetchinoj-i-gribami;1;
КАПУСТНИЦА;бабочка;Капустница - дневная бабочка из семейства белянок (Pieridae). Видовой эпитет происходит от лат. Brassica — капуста, одно из кормовых растений гусениц.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0)';1;
КАПУСТНИЦА;вредитель;капустница - вредитель относится к отряду Чешуекрылые, семейству Белянки.';'https://www.avgust.com/atlas/v/detail.php?ID=6403';1;
КАПУСТНИЦА;суп ;Капустница (капустняк, капусняк, капуста) — традиционный украинский, русский, белорусский, словацкий и польский вид супов из квашеной капусты[1]. Является аналогом русских щей, но не следует считать это одним и тем же блюдом, так как капустница готовится исключительно из квашеной капусты[2]. Традиционное блюдо на рождественском столе.[3]';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D1%81%D1%83%D0%BF)';1;
КАПУСТНИЦА;вредитель крастноцветных ;'Капустная белянка (капустница) – вредитель крестоцветных. Питаются гусеницы. Особенно сильно повреждает белокочанную и цветную капусту, а также брюкву, репу, редис, редьку, турнепс, хрен, рапс, горчицу, индау. Размножение двуполое. Развитие полное. Зимуют диапаузирующие куколки. В течение вегетационного периода развивается до пяти поколений.[5]';'http://www.pesticidy.ru/%D0%91%D0%B5%D0%BB%D1%8F%D0%BD%D0%BA%D0%B0_%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B0%D1%8F';1;
КАПУСТНИЦА;насекомое;Капустница. Описание: это насекомое является представителем обширнейшего семейства белянок, гигантский вред оно причиняет преимущественно насаждениям капусты и крестоцветным овощам. Крылышки у нее белые с характерными черными пятнышками, в размахе достигают 6,3 см. Гусеницы у этой бабочки зеленовато-желтой окраски, покрытые коротенькими темными шерстинками, имеют на спинке желтые полоски. В стадии куколки насекомые прячутся на заборе, в коре растений, среди камней.';'https://35media.ru/articles/2018/06/22/babochki-vrediteli-ne-lyubyat-valeryanku';1;
КАРАВЕЛЛА;судно;'Караве?лла — тип парусного судна, распространённый в Европе, особенно в Португалии и Испании, во второй половине XV — начале XVII века. Один из первых и наиболее известный тип кораблей, с которых начиналась эпоха Великих географических открытий.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0';1;
КАРАВЕЛЛА;корабль;'Определение каравеллы в словаре - это быстрый корабль, используемый в основном на xv. ';'https://educalingo.com/ru/dic-fr/caravelle';1;
КАРАВЕЛЛА;самолет средней дальности;'Другим определением каравелла является самолет средней дальности.';'https://educalingo.com/ru/dic-fr/caravelle';1;
КАРАВЕЛЛА;парусное судно ;Каравелла — тип парусного судна, распространённый в Европе, особенно в Португалии и Испании, во второй половине XV — начале XVII века. Один из первых и наиболее известный тип кораблей, с которых начиналась эпоха Великих географических открытий.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0';1;
КАРАВЕЛЛА;европейский автомобиль;Каравелла - стопроцентно европейский автомобиль.';https://www.volkswagen-commercial.ru/ru/models/caravelle.html;1;
КАРАКАТИЦА;моллюск;Каракатицы (лат. Sepiida) — отряд моллюсков из класса головоногих.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82%D0%B8%D1%86%D1%8B';1;
КАРАКАТИЦА;головоногое;'Хоть каракатица (лат. Sepiida) и принадлежит к классу головоногих, с другими моллюсками ее почти ничего не роднит. Взять хотя бы панцирь, который у каракатицы находится не снаружи, а внутри тела и отвечает за ее плавучесть. А тот факт, что это существо имеет целых три сердца, достоин внесения в морскую Книгу рекордов Гиннеса. Два из сердец координируют работу жабр, а третье ответственно за функционирование нервной системы.';'http://www.zoopicture.ru/karakaticy/';1;
КАРАКАТИЦА;животное;Каракатица. Царство: животные';https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82%D0%B8%D1%86%D1%8B;1;
КАРАКАТИЦА;мягкотелое животное;;;;
КАРАКАТИЦА;морской житель;;;;
КАРАКУРТ;вид пауков;Каракурт — вид пауков из рода чёрных вдов. Латинское название вида передаёт внешние морфологические признаки: тринадцать точек или пятен на верхней стороне брюшка.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82';1;
КАРАКУРТ;черная вдова;Каракурт. Род:  Чёрные вдовы';https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82;1;
КАРАКУРТ;членистоногое;Каракурт. Тип:  Членистоногие';https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82;1;
КАРАКУРТ;насекомое;Многие упорно называют пауков насекомыми, хотя это отдельный отряд и отдельный класс – паукообразные (Arachnida, подтип Хелицеровые - Chelicerata, тип Членистоногие). ';http://www.vokrugsveta.ru/encyclopedia/index.php?title=%D0%9F%D0%B0%D1%83%D0%BA%D0%B8;0;Паук=>насекомое или нет (с точки зрения науки - нет, но многие считают)
КАРАКУРТ;животное;С научной точки зрения считается, что пауки – это животные, относящиеся к типу членистоногих, классу паукообразных. ';https://yandex.ru/znatoki/question/animals/pauk_nasekomoe_ili_zhivotnoe_80a42e05/;0;Паук => животное
КАРБАС;лодка;' Большая лодка для рыбного промысла (на Белом и Баренцевом морях)';'https://www.google.com/search?biw=1536&bih=754&sxsrf=ACYBGNSUiy6Rls40r0TxmXIBQT7qR-in9A%3A1581885158165&ei=5qZJXrLfCd2Ik74PydWFmA0&q=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&oq=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&gs_l=psy-ab.3..0l4j0i10l6.17392.17392..17764...0.0..0.177.333.0j2......0....2j1..gws-wiz.......35i39.0TxWI4xawzc&ved=0ahUKEwiy6rW39dbnAhVdxMQBHclqAdMQ4dUDCAs&uact=5';1;
КАРБАС;судно ;Карбас — парусно-гребное промысловое и транспортное судно среднего размера, одно из основных у поморов и распространённое у других жителей Севера и Сибири, начиная не позднее чем с XV[2] и до середины XX века. Для поморского диалекта русского языка характерно произношение с ударением на первый слог и форма множественного числа «карбаса?»[3].';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D1%81';1;
КАРБАС;транспортное судно ;карбас — парусно-гребное промысловое и транспортное судно среднего размера, одно из основных у поморов и распространённое у других жителей Севера и Сибири, начиная не позднее чем с XV[2] и до середины XX века. Для поморского диалекта русского языка характерно произношение с ударением на первый слог и форма множественного числа «карбаса?»[3].';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D1%81';1;
КАРБАС;средство передвижения;Судно — плавучее сооружение, предназначенное для транспортных, промысловых, военных, научных, спортивных и других целей';https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%BD%D0%BE;0;Карбас =>судно=>транспортное средство
КАРБАС;плавучее сооружение;;;;
КАРБИД;соединение металлов и неметаллов;'Карби?ды — соединения металлов и неметаллов с углеродом. Традиционно к карбидам относят соединения, где углерод имеет бо?льшую электроотрицательность, чем второй элемент (таким образом из карбидов исключаются такие соединения углерода, как оксиды, галогениды и т. п.)';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B';1;
КАРБИД;тугоплавкое твердое вещество;'Карбиды — тугоплавкие твёрдые вещества. Они нелетучи и не растворимы ни в одном из известных растворителей. Карбиды бора и кремния (В4С и SiC), титана, вольфрама, циркония (TiC, WC и ZrC соответственно) обладают высокой твёрдостью, жаростойкостью, химической инертностью.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B';1;
КАРБИД;вещество;'Карбиды — тугоплавкие твёрдые вещества. Они нелетучи и не растворимы ни в одном из известных растворителей. Карбиды бора и кремния (В4С и SiC), титана, вольфрама, циркония (TiC, WC и ZrC соответственно) обладают высокой твёрдостью, жаростойкостью, химической инертностью.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B';1;
КАРБИД;химическое соединение;Карбиды – химические соединения которые получаеются в результате щелочных реакций углерода с металлами. В большинстве случаев получаются сверхтвердые сплавы, сравнимые по своим твердостным характеристикам с алмазом.';http://himopttorg.ru/spravochnik-khimopttorg/karbid-kaltsiya-ispolzovanie-i-mery-predostorozhnosti/;1;
КАРБИД;композит;'Карбид – это композит, который состоит из твердого материала и относительного мягкого связующего вещества. Он отличается чрезвычайно высокой твердостью при стандартных и высоких температурах, а также повышенной износостойкостью. Этот материал применяется при производстве инструментов или компонентов в большом количестве областей, где требуется особая износостойкость (например, при обработке твердых материалов). Карбид улучшает качество инструментов и компонентов, повышает продолжительность их срока службы и обеспечивает безопасность технологических процессов.';'https://www.ceratizit.com/ru/home/karbid-volframa/';1;
КАРДИОМИОПАТИЯ;первичное заболевнаие сердечной системы;'Кардиомиопатии – это первичные заболевания сердечной мышцы. Их надо отличать от структурных заболеваний сердца, таких как ишемическая болезнь сердца, патология клапанного аппарата, врожденные пороки сердца. На основании патологических признаков кардиомиопатии подразделяются на 3 основных типа: (см. рисунок Типы кардиомиопатии [Forms of cardiomyopathy]):';'https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%BE%D0%B1%D0%B7%D0%BE%D1%80-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B9-overview-of-cardiomyopathies';1;
