hyponim|hyponim1|hyperonim|text|link|bool|comment
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|сердечная патология |Кардиомиопатия - это сердечная патология, характеризующаяся поражением миокарда (мышечного, срединно-расположенного слоя сердца). При заболевании отмечается нарушение циркуляции крови по всему организму, что негативно отражается на его функционировании и провоцирует угрозу для жизни человека.|https://www.smclinic.ru/diseases/k/kardiomiopatiya/|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|группа заболеваний сердца|Кардиомиопатия (КМП) — это группа заболеваний сердца, главной характеристикой которых является наличие дефектов в самой сердечной мышце, миокарде. При этом причины возникновения патологии и характер повреждения мышцы могут сильно различаться, что влечет за собой разницу в симптомах болезни и ее лечении.|https://odrex.ua/treatment/kardiomiopatii/|1|0
КАРЕТКА|КАРЕТКА|часть велосипеда|Велосипедная каретка (англ. bottom bracket) — часть велосипеда, соединяющая, с одной стороны, шатуны педалей и ведущую звезду и раму велосипеда, с другой стороны. Каретка позволяет свободно вращать шатуны педалей, приводить в движение велосипедную трансмиссию, при этом обеспечивая её жесткую фиксацию на велосипеде. Конструктивно представляет собой вал, систему подшипников и стакан, фиксирующий на каретку элемент на раме.|https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0|1|0
КАРЕТКА|КАРЕТКА|часть механизма|КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).|https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90|1|0
КАРЕТКА|КАРЕТКА|часть машины|КАРЕТКА — часть машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).|https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90|1|0
КАРЕТКА|КАРЕТКА|рабочий орган вязаотной машины|Каретка - это самый важный рабочий орган вязальной машины. Используя рычаги управления расположенные на каретке, можно управлять работой иголок для выполнения различных переплетений. То есть, при вязании узоров и сложных рисунков, иголки будут выдвигаться в рабочее или нерабочее положении. Те иголки, которые в рабочем положении, каретка будет провязывать и наоборот. Если каретка движется слева направо, то пользуются рычагами справа, и наоборот - это важный момент. Управление рычагами каретки вязальной машины при вязании различных узоров предпочтительней осваивать опытным путем.|http://www.shyu.ru/shvejnye-terminy-k.html|1|0
КАРЕТКА|КАРЕТКА|узел|Каретка - узел, помещающийся в кареточной трубе. Каретка состоит из вала (оси) каретки, подшипников и двух шатунов.|https://sportextrem.ru/articles/poleznoe/slovar-velosipednykh-terminov/|1|0
КАРТ|КАРТ|автомобиль |КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см³. Максимальная скорость 150 км/ч.|https://dic.academic.ru/dic.nsf/enc3p/149898|1|0
КАРТ|КАРТ|гоночный автомобиль|КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см³. Максимальная скорость 150 км/ч.|https://dic.academic.ru/dic.nsf/enc3p/149898|1|0
КАРТ|автомобиль|транспорт|Автомобиль — средство безрельсового транспорта с собственным двигателем|https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82|0|карт=>автомобиль=>транспорт
КАРТ|КАРТ|машина|основной парк наших машин - это карт|https://www.kartracing.ru/%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE-%D0%BA%D0%B0%D1%80%D1%82%D0%B0/|1|0
КАРТ|автомобиль|средство передвижения|Автомобиль — это и роскошь, и средство передвижения|https://www.ntv.ru/novosti/3179/|0|карт=>автомобиль=>средство передвижения
КАРТИНГИСТ|КАРТИНГИСТ|спортсмен|картингист - спортсмен, занимающийся картингом|https://ru.wiktionary.org/wiki/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82|1|0
КАРТИНГИСТ|КАРТИНГИСТ|участник картинга|картингист - участник картинга|http://xn----8sbauh0beb7ai9bh.xn--p1ai/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82|1|0
КАРТИНГИСТ|профессионал|человек|Профессионал — человек, сделавший определённое занятие (дело) своей профессией|https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB|0|картингист=>профессионал=>человек
КАРТИНГИСТ|КАРТИНГИСТ|участник гонок|картингист - участик гонок|https://www.redbull.com/ru-ru/karting-entertainment-or-sports|0|overview of article
КАРТИНГИСТ|пилот|водитель |Пилот — водитель гоночного автомобиля.|https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C_%D0%B0%D0%B2%D1%82%D0%BE%D0%B3%D0%BE%D0%BD%D0%BE%D1%87%D0%BD%D1%8B%D1%85_%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2|0|картингист=>гонщик=>водитель
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|специались|картофелевод - Специалист по картофелеводству|https://dic.academic.ru/dic.nsf/ogegova/80930|1|0
КАРТОФЕЛЕВОД|овощевод|фермер|Мы, фермеры-овощеводы, встречались с ведущими специалистами, профессорами Всероссийского научно-исследовательского института селекции и семеноводства овощных культур (ФГБНУ ВНИИССОК). Они нас услышали – семена стали качественными по всхожести.|http://mcx.ru/press-service/regions/lyudi-truda-kartofelevod-valentin-lekontsev-iz-udmurtii/|0|картофелевод=>овощевод=>фермер
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|овощевод| Картофелевод - овощевод|https://noun_ru.academic2.ru/3656/%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B4|1|0
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|растеньевод| Картофелевод - растеньевод|https://noun_ru.academic2.ru/3656/%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B4|1|0
КАРТОФЕЛЕВОД|Фермер|человек|Фермер — это человек, который на собственной или арендованной земле содержит хозяйство.|https://proforientator.ru/professions/agronom-fermer/|0|Картофелевод=>фермер=>человек
КАРТУЗ|КАРТУЗ|головной убор|Картуз — мужской головной убор, имевший распространение в XVI — начале XX века в Северной и Восточной Европе (больше всего у немцев, голландцев и русских).|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D1%83%D0%B7|1|0
КАРТУЗ|КАРТУЗ|мешок|Картуз - Бумажный мешок для чего-н. сыпучего устар..|https://how-to-all.com/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5:%D0%BA%D0%B0%D1%80%D1%82%D1%83%D0%B7|1|0
КАРТУЗ|КАРТУЗ|фуражка |Картуз - фуражка с козырьком|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D1%83%D0%B7|1|0
КАРТУЗ|КАРТУЗ|предмет гардероба |Впоследствии картуз перекочевал в повседневные наряды и стал предметом гардероба не только мужчин, но и женщин.|https://tkaner.com/golovnye-ubory/shlyapy/kartuz-eto/|1|0
КАРТУЗ|фуражка|одежда|Продажа одежды, обуви и аксессуаров - фуражка|https://www.olx.kz/moda-i-stil/odezhda/q-%D1%84%D1%83%D1%80%D0%B0%D0%B6%D0%BA%D0%B0/|0|картуз=>фуражка=>одежда
КАСТЕЛЯНША|КАСТЕЛЯНША|заведующая|кастеляншаа - Заведующая бельём в больнице, доме отдыха, гостинице и т. п.|https://spanwords.info/answer.php?key=88ab135bcd37956637a9b4508526d2c0&id=314922|1|0
КАСТЕЛЯНША|КАСТЕЛЯНША|сотрудница|Кастелянша - это сотрудница, ведающая хранением и выдачей одежды и белья.|https://www.profguide.io/professions/Kastelyansha.html|1|0
КАСТЕЛЯНША|КАСТЕЛЯНША|человек|Кастелянша это такая профессия, принято считать, что этот человек отвечает за одежду или бельё.|https://forexdengi.com/threads/140077-kto-takaya-kastelyansha?p=20386866#post20386866|1|0
КАСТЕЛЯНША|КАСТЕЛЯНША|профессия |Кастелянша считается женским родом деятельности|https://kedu.ru/press-center/profgid/kastelyansha|1|0
КАСТЕЛЯНША|КАСТЕЛЯНША|сотрудник|Кастелянша - Сотрудник бельевой компании|https://www.superjob.ru/vakansii/kastelyansha-31127423.html|1|0
КАСТОМИЗАЦИЯ|КАСТОМИЗАЦИЯ|рыночный тренд|Кастомизация считалась рыночным трендом. |https://www.ippnou.ru/print/007120/|1|0
КАСТОМИЗАЦИЯ|КАСТОМИЗАЦИЯ|индивидуализация продукции|Кастомизация (от англ. to customize — настраивать, изменять что-то, делая более подходящим под нужды конкретного потребителя) — индивидуализация продукции под заказы конкретных потребителей путём внесения конструктивных или дизайнерских изменений (обычно — на конечных стадиях производственного цикла). Например, нанесение рисунка на приобретаемую в интернет-магазине футболку по заявке покупателя или изготовление свадебного торта с поздравительной надписью.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%82%D0%BE%D0%BC%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F|1|0
КАСТОМИЗАЦИЯ|КАСТОМИЗАЦИЯ|адаптация |Кастомизация (customization) — адаптация массового продукта под запросы конкретного потребителя путем частичного изменения продукции под конкретный запрос, доукомплектования товара дополнительными элементами или принадлежностями.  Термин происхолдит от английского customer — клиент, потребитель.|http://www.marketch.ru/marketing_dictionary/marketing_terms_k/customization/|1|0
КАСТОМИЗАЦИЯ|КАСТОМИЗАЦИЯ|маркетинговая тактика|Кастомизация — маркетинговая тактика мотивации покупателя к приобретению продукции, включающая инструменты продуктового маркетинга, торгового маркетинга и консьюмер сервис.  С точки зрения производства, под кастомизацией понимается способность выполнения разового заказа изменения или адаптации серийного изделия на серийном производстве по индивидуальным характеристикам и по желанию заказчика.|http://www.marketch.ru/marketing_dictionary/marketing_terms_k/customization/|1|0
КАСТОМИЗАЦИЯ|КАСТОМИЗАЦИЯ|изменение|Эта новая тенденция преимущественно западных компаний – кастомизация - изменение традиционного товара/услуги под запросы отдельных потребителей.|https://www.logodesigner.ru/articles/archive/kastomizatsiya/|1|0
КАТЕХИЗИС|КАТЕХИЗИС|вероисповедный документ |Катехи́зис (лат. catechēsis; от др.-греч. κατηχισμός — «поучение, наставление»; κατηχεῖν = κάτω «вниз» + ήχος «звук» — «внушать, отвечать») — официальный вероисповедный документ какой-либо конфессии; огласительное наставление; книга, содержащая основные положения вероучения, часто изложенные в виде вопросов и ответов.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D1%85%D0%B8%D0%B7%D0%B8%D1%81|1|0
КАТЕХИЗИС|КАТЕХИЗИС|руководство|Катехизис называют руководство, которое содержит основные положения христианского вероучения. То есть, это своего рода элементарный учебник веры, где изложены самые основы догматики и христианской нравственности. Но часто с этим словом, как правило, ассоциируется что-то совершенно сухое и скучное, оторванное от жизни. Катехизис представляется набором по большому счету ничего не говорящих правил и формул, и тогда к нему более чем к чему-либо еще, казалось бы, применимы слова Гете «суха, мой друг, теория везде, а древо жизни пышно зеленеет».|https://foma.ru/katexizis-oglashenie.html|1|0
КАТЕХИЗИС|КАТЕХИЗИС|учебник веры|Впрочем, если катехизис - это учебник веры, то почему же он все-таки воспринимается как что-то предельно скучное? Ведь никто же не считает скучным, скажем, букварь. Однако в этом древнегреческом слове есть еще одно его значение, которое может помочь понять, почему и при каких условиях катехизис начинают ассоциировать с чем-то занудным и ненужным.|https://foma.ru/katexizis-oglashenie.html|1|0
КАТЕХИЗИС|КАТЕХИЗИС| жанр христианской вероучительной литературы|Катехизис - жанр христианской вероучительной литературы. Как пособие для первоначального усвоения наиболее важных понятий и положений вероучения и церковной жизни К. предполагает краткость, ясность и однозначность изложения и, как правило, исключает рассмотрение и критику различных мнений по тем или иным спорным вопросам. Для К. характерна тезисная форма изложения материала в связи с тем, что, с одной стороны, на практике он обычно предназначался для заучивания наизусть, с др. стороны - как учебное пособие, предполагал устные разъяснения наставника или учителя. Дидактизм К. выражен в необязательной, но характерной для этого вида религ. лит-ры форме вопросов и ответов, предполагающих беседу ученика и учителя.|https://azbyka.ru/katexizis|1|0
КАТЕХИЗИС|КАТЕХИЗИС|Краткое изложение|Катехизис, то есть краткое изложение и объяснение важнейших догматов веры и христианской религии, в первую очередь для новообращенных, в особенности детей в школах. |https://www.wdl.org/ru/item/14224/|1|0
КАТОРЖАНИН|КАТОРЖАНИН|человек|каторжанин - это человек, бывший на каторге (за политическую деятельность).|https://www.google.com/search?q=%D0%9A%D0%90%D0%A2%D0%9E%D0%A0%D0%96%D0%90%D0%9D%D0%98%D0%9D&oq=%D0%9A%D0%90%D0%A2%D0%9E%D0%A0%D0%96%D0%90%D0%9D%D0%98%D0%9D&aqs=chrome..69i57j0l7.428j0j9&sourceid=chrome&ie=UTF-8|1|0
КАТОРЖАНИН|КАТОРЖАНИН|осужденный|каторжанин - осужденный за политическую деятельность |https://slovar.cc/rus/ojegov/594080.html|1|0
КАТОРЖАНИН|КАТОРЖАНИН|заключённый|Сегодня, 6 ноября, в Башкирии из колонии сбежал заключенный - осужденный за изнасилование, насильственные действия сексуального характера и кражу. |https://ufa1.ru/text/incidents/66297238/|0|каторжанин=>осужденный=>заключенный
КАТОРЖАНИН|КАТОРЖАНИН|отбывающий каторгу|КАТОРЖАНИН -  человек, отбывающий каторгу (в 1 знач.) или бывший на каторге (чаще об осуждённых за политическую деятельность).| https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D0%BE%D1%80%D0%B6%D0%B0%D0%BD%D0%B8%D0%BD|1|0
КАТОРЖАНИН|КАТОРЖАНИН|невольник|Трудись ты, каторжник-невольник, С трудом тяжелым примирись.|http://a-pesni.org/popular20/pkatsahalina.htm|1|0
КАТЫШЕК|КАТЫШЕК|комочек|Пупочные катышки — комочки из пушистых тканевых волокон и пыли, периодически образующиеся к концу дня в пупках людей, чаще всего у мужчин с волосатыми животами. |https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D0%BF%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%BA%D0%B0%D1%82%D1%8B%D1%88%D0%BA%D0%B8|1|0
КАТЫШЕК|КАТЫШЕК|обрубок дерева|катышек - Небольшой чурбан, круглый обрубок дерева.|https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%86|1|0
КАТЫШЕК|КАТЫШЕК|чурбан |катышек - Небольшой чурбан, круглый обрубок дерева.|https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%86|1|0
КАТЫШЕК|КАТЫШЕК|камень|катышек - Округлый, окатанный камень.|https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%87|1|0
КАТЫШЕК|КАТЫШЕК|круглый комок|катышек — Круглый комок, скатанный шарик из какого-л. мягкого вещества. К. хлеба, воска.  |https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%88|1|0
КАУСТИК|КАУСТИК|каустическая сода|Каустик - каустическая сода|https://melscience.com/RU-ru/articles/chto-takoe-kausticheskaya-soda/|0|см. другие название
КАУСТИК|Каустическая сода|Каустическая сода|Каустическая сода - неорганическое химическое вещество, самая распространённая щёлочь, химическая формула NaOH.|https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%B4%D1%80%D0%BE%D0%BA%D1%81%D0%B8%D0%B4_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%8F|0|каустик => каустическая сода => неорганическое хим вещество
КАУСТИК|КАУСТИК|техническое название|Каустик — техническое название едких щелочей.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%83%D1%81%D1%82%D0%B8%D0%BA_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F)|1|0
КАУСТИК|КАУСТИК|вещество|Каустик – одно из наиболее распространенных веществ: ежегодно во всем мире его производят в количестве более 67 миллионов тонн. |http://drec.ru/articles/seriya-professionalnye-terminy-klinerov-dezinfektsiya-kaustikom.html|1|0
КАУСТИК|КАУСТИК|окись|Каустик - окись натрия|https://xn--80aaahpr6aegphgefgd9d.xn--p1ai/uslugi_gruzoperevozok/perechen_nalivnyh_gruzov/perevozka-himicheskih-produktov/perevozka-gidroksida-natriya-kaustik/|1|0
КАУСТИК|оксид|оксид|оксид - окись |https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D0%B8%D0%B4%D1%8B|0|синонимы
КАШПО|КАШПО|предмет декора|Кашпо́, как предмет декора, часто применяется в дизайнерских решениях.|https://yellowhome.ru/2016/12/08/kashpo-dlya-cvetov-stilno-i-so-vkusomcvety-yavlyayutsya-neotemlemym-elementom-kazhdogo-doma-oni-pridayut-estetichnyj-vid-komnatam-i-kruglyj-god-udivlyayut-zhilcov-svoej-zelenoj-listvoj-i-cveteniem/|1|0
КАШПО|КАШПО|сосуд|Кашпо́ (от фр. cache-pot, букв. «прятать горшок») — декоративный сосуд без отверстий в нижней части, внутрь которого ставится горшок с растением.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%88%D0%BF%D0%BE|1|0
КАШПО|КАШПО|декоративная ваза|кашпо - декоративная ваза для цветочного горшка.||1|0
КАШПО|КАШПО|украшение|кашпо -крашения для простых цветочных горшков.|https://dic.academic.ru/dic.nsf/ogegova/81794|1|0
КАШПО|КАШПО|вместилище|кашпо - вместилище из керамики или пластмассы, среднего или малого размера, изящной формы, открытое, предназначенное для цветочного горшка и украшения помещени|https://dic.academic.ru/dic.nsf/ogegova/81794|1|0
КАЯКИНГ|КАЯКИНГ|вид спорта|каякинг - один из видов водного туризма, спорта или активного отдыха на воде с использованием судна, которое называется каяк. Человек, занимающийся каякингом, называется каякером.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3|1|0
КАЯКИНГ|КАЯКИНГ|вид экстримального спорта|каякинг - это вид экстримального спорта, который появился относительно недавно. Он представляет собой сплав по бурной рекена одноместном судне, который и называется каяком. Чаще судно рассчитано на одно место, но может быть и двухместным.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3|1|0
КАЯКИНГ|КАЯКИНГ|путешествие|Морской каякинг -это путешествия по озерам, морям, океанам, равнинным рекам и водохранилищам. Морской туристический каякинг – это сплав по относительно водной глади.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3|1|0
КАЯКИНГ|КАЯКИНГ|водный туризм|каякинг - разновидность водного туризма|https://glonasstravel.com/destination/vidy-turizma/sport-ekstrim/kayaking/|1|0
КАЯКИНГ|КАЯКИНГ|движение|каякинг - это движение в бурном потоке воды.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%8F%D0%BA%D0%B8%D0%BD%D0%B3|1|0
